SMILES,pCHEMBL,Molecular Weight,logP
CCCn1c(=O)c2nc([C@H]3CC[C@H](CO)CC3)[nH]c2n(CCC)c1=O,6.5,348.45,1.97
Cc1cccc(-n2cc3c(n2)c(N)nc2ccccc23)c1,6.64,274.33,3.46
CCOC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC(C4CC4)C4CC4)nc(Cl)nc31)[C@H](O)[C@@H]2O,5.8,447.92,1.93
Cc1ccccc1CNc1nc(Cl)nc2c1ncn2[C@@H]1S[C@H](C(=O)NCC2CC2)[C@@H](O)[C@H]1O,5.41,489.00,2.26
Oc1cc(-c2ccccc2)nc2nc(NC3CCCCC3)ccc12,5.6,319.41,4.75
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,4.68,296.41,3.61
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,5.79,406.91,6.61
Nc1nc(-c2ccco2)nc2sc(CN3CCC(F)(F)CC3)cc12,7.3,350.39,3.76
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,5.47,281.27,-1.59
Nc1nc(/N=N/NC(=O)NC2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,7.6,435.45,-0.35
COc1cccc(-c2cc(C(F)(F)F)nc(NCc3ccc(F)cc3)n2)c1,6.54,377.34,4.92
Fc1ccc(CNc2nc(-c3cccs3)cc(C(F)(F)F)n2)cc1,6.54,353.34,4.98
c1cc(CN2CCCC2)cc(-c2n[nH]c(-c3ccc4c(c3)OCCO4)n2)c1,6.0,362.43,3.51
Clc1ccc(Cc2n[nH]c(-c3ccc4c(c3)OCO4)n2)cc1Cl,7.0,348.19,4.10
Nc1nc2c(ncn2CCN2CCN(c3nccs3)CC2)c2nc(-c3ccco3)nn12,8.77,436.51,1.59
CCCC(=O)Nc1nc(-c2ccccc2)n[nH]1,5.96,230.27,2.21
COc1ccc(CC(=O)Nc2nc(-c3ccccc3)n[nH]2)cc1,6.0,308.34,2.66
Nc1nc2ccccc2c2cn(-c3ccccc3)nc12,6.48,260.30,3.16
CCCn1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,5.91,436.86,4.44
C[C@]1(O)C(n2cnc3c(N)nc(Cl)nc32)O[C@H](CO)[C@H]1O,5.88,315.72,-0.94
CCCCc1nc2ccccc2c2nc(-c3ccc(O)cc3)nn12,5.28,318.38,3.99
CCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,5.98,418.42,3.41
Cc1cccnc1CNC(=O)c1cc(-c2ccccc2C#N)nc(N)n1,6.91,344.38,2.23
CCCC[C@H](NC(=O)[C@H]1CC[C@@H]2c3[nH]c4ccccc4c3CCN2C1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(N)=O,5.0,696.90,3.46
C=CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,6.79,332.36,2.05
CCn1nc(-c2cccc(-c3cccc(C(=O)NCCN4CCNCC4)c3)c2)cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O,8.05,635.56,4.58
CCn1nc(-c2cccc(-c3cccc(O)c3)c2)cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O,6.78,496.35,5.65
COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1OC,7.7,419.45,2.97
COc1cc(/C=N/N=C(\S)Cc2ccccc2)c(O)c(OC)c1,5.38,330.41,3.31
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)nc2n(CCC)c1=O,6.3,486.53,3.26
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@@H]3CC[C@H](NC(=O)c4cccc(C(F)(F)F)c4)C3)sc12,7.09,548.59,5.23
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@H]3CC[C@H](NC(=O)c4cccc(C(F)(F)F)c4)CC3)sc12,6.33,562.61,5.62
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@H]3CCN(C(=O)c4cccc(C(F)(F)F)c4)C3)sc12,6.15,534.56,4.80
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)C3CCN(Cc4cccc(C(F)(F)F)c4)CC3)sc12,6.0,534.60,5.55
CCCn1cc2c(nc(NC(=O)Nc3ccc(F)cc3)n3nc(-c4ccco4)nc23)n1,7.38,420.41,3.93
Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,9.08,285.69,2.77
Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,9.74,359.39,2.95
CCCCn1c(=O)[nH]c(=O)c2[nH]cnc21,5.08,208.22,0.21
O=C(Nc1cccc(Cl)c1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,6.7,512.96,5.66
Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,6.37,373.38,2.45
CC(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,7.05,303.39,3.38
CC(C)(C)OC(=O)NCC1CCC(CNc2nc(N)n3nc(-c4ccco4)nc3n2)CC1,7.16,442.52,3.10
NCCCNc1nc(N)n2nc(-c3ccco3)nc2n1.O=C(O)C(F)(F)F,6.57,388.31,0.12
Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,8.96,345.37,2.56
CCCn1ncc2nc(N)n3nc(-c4ccco4)nc3c21,7.92,283.30,1.73
Nc1nc(-c2cnn(CCCC3CCCCC3)c2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.17,457.54,1.24
N/C(=N/O)c1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,8.22,417.43,2.04
CNC(=O)[C@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cc(Cl)ccc4Cl)nc(Cl)nc31)[C@H](O)[C@@H]2O,5.89,497.77,2.43
Cc1ccc2c(O)cc(-c3cccc([N+](=O)[O-])c3)nc2n1,6.24,281.27,3.22
Nc1ncc(-c2ccnc(C3CC3)c2)c(-c2ccccc2)n1,7.44,288.35,3.67
Cc1ccc2c(S)cc(-c3ccccc3)nc2n1,5.9,252.34,3.89
Oc1nc2ccccc2n2nc(-c3ccco3)nc12,5.32,252.23,2.24
NC[C@@H]1[C@@H](CO)O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@@H]1O,7.17,496.31,0.87
COc1ccc2c(O)cc(-c3ccccc3)nc2n1,5.85,252.27,3.01
COc1ccc2c(O)cc(-c3ccccc3)nc2n1,6.31,252.27,3.01
NC[C@@H]1[C@@H](CO)O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@@H]1O,8.19,496.31,0.87
NC[C@@H]1[C@@H](CO)O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@@H]1O,7.19,496.31,0.87
Oc1cc(-c2ccccc2)nc2nc(Br)ccc12,7.18,301.14,3.76
CC(=O)Nc1ccc(-c2cc(O)c3ccc(C)nc3n2)cc1,5.8,293.33,3.27
Nc1nc(C#Cc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,6.44,367.37,-0.58
CCSc1nc(-n2cccn2)nc(N)c1Br,8.1,300.19,2.12
O=C(Nc1nc2c(Cl)ncnc2s1)c1ccccc1,5.82,290.74,2.99
Nc1nc(NCCc2ccc(O)cc2)nc2sc(-c3ccco3)nc12,7.68,353.41,3.29
Nc1nc(NCc2ccccc2)nc2sc(-c3ccco3)nc12,7.75,323.38,3.54
N#Cc1cncc(Cc2ccc3c(c2)-c2nc(N)nc(-c4ccccc4)c2C3=O)c1,8.85,389.42,3.79
Cn1c(=O)c2c(nc3n2CCCN3c2ccc(F)cc2)n(C)c1=O,5.73,329.33,1.11
O=C(Cc1ccccc1)Nc1nc(Cl)c2cn(CCc3ccccc3)nc2n1,5.07,391.86,3.90
COc1cccc(-n2c(=O)n(Cc3c(F)cccc3F)c3cnc(NCC4CC4)nc32)c1,6.3,437.45,3.74
