SMILES,pCHEMBL,Molecular Weight,logP
COc1ccc(CC(=O)Oc2ccc3c(c2)C24CCCCC2(O)C(C3)N(CC2CCC2)CC4)cc1.Cl,9.68,512.09,4.82
COc1cccc(S(=O)(=O)N2CCN(C(=O)CN(C)c3ccc(Cl)c(Cl)c3)C(CN3CCCC3)C2)c1,7.1,555.53,3.44
COC12CCC3(CC1CNCC=Cc1ccccc1)C1Cc4ccc(O)c5c4C3(CCN1C)C2O5,8.18,472.63,4.14
COC12CCC3(CC1CNC(=O)C=Cc1ccc(Cl)cc1)C1Cc4ccc(O)c5c4C3(CCN1C)C2O5,8.73,521.06,4.32
COC12CCC3(CC1CNC(=O)C=Cc1ccccc1Cl)C1Cc4ccc(O)c5c4C3(CCN1C)C2O5,8.79,521.06,4.32
COc1ccc2c3c1OC1C4(OC)CCC5(CC4CNC(=O)C=Cc4ccccc4[N+](=O)[O-])C(C2)N(C)CCC315,7.53,545.64,3.88
COc1ccc2c3c1OC1C4(OC)CCC5(CC4CNC(=O)C=Cc4ccc([N+](=O)[O-])cc4)C(C2)N(C)CCC315,7.24,545.64,3.88
COc1ccc2c3c1OC1C4(OC)CCC5(CC4CNC(=O)C=Cc4ccc(C)cc4)C(C2)N(C)CCC315,6.8,514.67,4.28
CCc1ccc(C2(O)CCN(C(c3ccccc3)c3ccccc3)CC2)cc1,4.95,371.52,5.32
CNCC(Cc1ccccc1)N(C)CC(Cc1ccc(O)cc1)N(C)CC(Cc1ccc(O)cc1)N(C)C,5.98,518.75,3.88
Cl.O=C(Cc1ccccc1)Oc1ccc2c(c1)C13CCCCC1(O)C(C2)N(CC1CCC1)CC3,9.32,482.06,4.81
CC1C2Cc3ccc(C(=O)N(C)CCc4ccc(-c5ccccc5)cc4)cc3C1(C)CCN2CC1CC1,7.96,492.71,6.6
CCCCC(=O)NC12Cc3c([nH]c4ccccc34)C3Oc4c(O)ccc5c4C31CCN(C)C2C5,7.25,457.57,4.11
CN1CC2Oc3ccc(O)cc3C23CCCC1C3,5.97,245.32,2.28
C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,8.35,327.38,1.3
N=C(N)Nc1ccc2[nH]c3c(c2c1)CC1(O)C2Cc4ccc(O)c5c4C1(CCN2CC1CC1)C3O5,9.82,471.56,2.88
NC(=O)c1cccc(OC2CC3CCC(C2)N3CCCc2ccccc2)c1,6.47,364.49,3.79
Cc1ccc(C(C)N2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)s1,6.45,370.52,4.29
NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,4.75,337.42,2.75
